DATETIME,ShortwavFlux2003-2023,Transpiration2003-2023
01/02/2003,114.02,0.00
01/03/2003,178.19,0.00
01/04/2003,211.44,1.89
01/05/2003,195.76,8.73
01/06/2003,263.59,20.24
01/07/2003,268.66,42.45
01/08/2003,218.62,47.94
01/09/2003,201.30,36.63
01/10/2003,155.22,25.35
01/11/2003,113.81,8.98
01/12/2003,86.66,2.24
01/01/2004,94.80,0.02
01/02/2004,144.58,0.01
01/03/2004,191.24,0.03
01/04/2004,219.80,1.41
01/05/2004,258.50,10.51
01/06/2004,276.78,38.15
01/07/2004,270.83,45.42
01/08/2004,249.46,39.40
01/09/2004,195.75,36.46
01/10/2004,151.15,21.66
01/11/2004,110.43,9.44
01/12/2004,90.11,1.49
01/01/2005,82.83,0.08
01/02/2005,136.59,0.10
01/03/2005,160.22,0.06
01/04/2005,237.17,0.72
01/05/2005,263.97,8.03
01/06/2005,285.74,24.60
01/07/2005,259.49,39.62
01/08/2005,243.15,50.18
01/09/2005,233.50,36.44
01/10/2005,152.21,16.79
01/11/2005,118.40,6.91
01/12/2005,88.26,2.29
01/01/2006,92.74,0.01
01/02/2006,136.47,0.11
01/03/2006,205.03,0.08
01/04/2006,243.16,1.78
01/05/2006,285.24,11.41
01/06/2006,268.81,29.64
01/07/2006,266.54,36.06
01/08/2006,265.02,48.27
01/09/2006,195.15,28.81
01/10/2006,162.84,21.88
01/11/2006,104.92,10.47
01/12/2006,88.92,1.68
01/01/2007,96.17,0.17
01/02/2007,145.40,0.15
01/03/2007,190.66,0.01
01/04/2007,221.69,2.33
01/05/2007,292.09,9.78
01/06/2007,279.76,33.20
01/07/2007,287.86,43.28
01/08/2007,253.09,32.73
01/09/2007,232.68,37.06
01/10/2007,162.95,22.25
01/11/2007,110.84,9.89
01/12/2007,72.82,1.46
01/01/2008,98.47,0.06
01/02/2008,126.02,0.09
01/03/2008,191.16,0.11
01/04/2008,208.77,1.42
01/05/2008,267.33,12.16
01/06/2008,304.98,30.23
01/07/2008,272.99,61.88
01/08/2008,261.58,50.23
